"X","Y"
0.25,0.25
0.75,0.25
1.25,0.25
1.75,0.25
2.25,0.25
2.75,0.25
3.25,0.25
3.75,0.25
4.25,0.25
4.75,0.25
5.25,0.25
5.75,0.25
6.25,0.25
6.75,0.25
7.25,0.25
7.75,0.25
8.25,0.25
8.75,0.25
9.25,0.25
9.75,0.25
10.25,0.25
10.75,0.25
11.25,0.25
11.75,0.25
12.25,0.25
12.75,0.25
13.25,0.25
13.75,0.25
14.25,0.25
14.75,0.25
15.25,0.25
15.75,0.25
16.25,0.25
16.75,0.25
17.25,0.25
17.75,0.25
18.25,0.25
18.75,0.25
19.25,0.25
19.75,0.25
20.25,0.25
20.75,0.25
21.25,0.25
21.75,0.25
22.25,0.25
22.75,0.25
23.25,0.25
23.75,0.25
0.25,0.75
0.75,0.75
1.25,0.75
1.75,0.75
2.25,0.75
2.75,0.75
3.25,0.75
3.75,0.75
4.25,0.75
4.75,0.75
5.25,0.75
5.75,0.75
6.25,0.75
6.75,0.75
7.25,0.75
7.75,0.75
8.25,0.75
8.75,0.75
9.25,0.75
9.75,0.75
10.25,0.75
10.75,0.75
11.25,0.75
11.75,0.75
12.25,0.75
12.75,0.75
13.25,0.75
13.75,0.75
14.25,0.75
14.75,0.75
15.25,0.75
15.75,0.75
16.25,0.75
16.75,0.75
17.25,0.75
17.75,0.75
18.25,0.75
18.75,0.75
19.25,0.75
19.75,0.75
20.25,0.75
20.75,0.75
21.25,0.75
21.75,0.75
22.25,0.75
22.75,0.75
23.25,0.75
23.75,0.75
0.25,1.25
0.75,1.25
1.25,1.25
1.75,1.25
2.25,1.25
2.75,1.25
3.25,1.25
3.75,1.25
4.25,1.25
4.75,1.25
5.25,1.25
5.75,1.25
6.25,1.25
6.75,1.25
7.25,1.25
7.75,1.25
8.25,1.25
8.75,1.25
9.25,1.25
9.75,1.25
10.25,1.25
10.75,1.25
11.25,1.25
11.75,1.25
12.25,1.25
12.75,1.25
13.25,1.25
13.75,1.25
14.25,1.25
14.75,1.25
15.25,1.25
15.75,1.25
16.25,1.25
16.75,1.25
17.25,1.25
17.75,1.25
18.25,1.25
18.75,1.25
19.25,1.25
19.75,1.25
20.25,1.25
20.75,1.25
21.25,1.25
21.75,1.25
22.25,1.25
22.75,1.25
23.25,1.25
23.75,1.25
0.25,1.75
0.75,1.75
1.25,1.75
1.75,1.75
2.25,1.75
2.75,1.75
3.25,1.75
3.75,1.75
4.25,1.75
4.75,1.75
5.25,1.75
5.75,1.75
6.25,1.75
6.75,1.75
7.25,1.75
7.75,1.75
8.25,1.75
8.75,1.75
9.25,1.75
9.75,1.75
10.25,1.75
10.75,1.75
11.25,1.75
11.75,1.75
12.25,1.75
12.75,1.75
13.25,1.75
13.75,1.75
14.25,1.75
14.75,1.75
15.25,1.75
15.75,1.75
16.25,1.75
16.75,1.75
17.25,1.75
17.75,1.75
18.25,1.75
18.75,1.75
19.25,1.75
19.75,1.75
20.25,1.75
20.75,1.75
21.25,1.75
21.75,1.75
22.25,1.75
22.75,1.75
23.25,1.75
23.75,1.75
0.25,2.25
0.75,2.25
1.25,2.25
1.75,2.25
2.25,2.25
2.75,2.25
3.25,2.25
3.75,2.25
4.25,2.25
4.75,2.25
5.25,2.25
5.75,2.25
6.25,2.25
6.75,2.25
7.25,2.25
7.75,2.25
8.25,2.25
8.75,2.25
9.25,2.25
9.75,2.25
10.25,2.25
10.75,2.25
11.25,2.25
11.75,2.25
12.25,2.25
12.75,2.25
13.25,2.25
13.75,2.25
14.25,2.25
14.75,2.25
15.25,2.25
15.75,2.25
16.25,2.25
16.75,2.25
17.25,2.25
17.75,2.25
18.25,2.25
18.75,2.25
19.25,2.25
19.75,2.25
20.25,2.25
20.75,2.25
21.25,2.25
21.75,2.25
22.25,2.25
22.75,2.25
23.25,2.25
23.75,2.25
0.25,2.75
0.75,2.75
1.25,2.75
1.75,2.75
2.25,2.75
2.75,2.75
3.25,2.75
3.75,2.75
4.25,2.75
4.75,2.75
5.25,2.75
5.75,2.75
6.25,2.75
6.75,2.75
7.25,2.75
7.75,2.75
8.25,2.75
8.75,2.75
9.25,2.75
